division_key,division_name
1,CITY CLERKS OFFICE
2,ECO. DEVT. & CULTURE
3,ENGINEERING & CONSTR. SERVICES
4,"ENVIRONMENT, CLIMATE & FORESTR"
5,FACILITIES MGMT & REAL ESTATE
6,FIRE SERVICES
7,FLEET SERVICES
8,INFORMATION & TECHNOLOGY
9,MAYORS OFFICE
10,MUNICIPAL LICENSING & STDS
11,PARKS & RECREATION
12,"POLICY, PLANNING, FIN. & ADMIN"
13,PUBLIC HEALTH
14,PURCHASING & MATERIALS MGMT
15,"SHELTER, SUP., & HOUSING ADMIN"
16,SOLID WASTE MANAGEMENT
17,TORONTO BUILDING
18,TORONTO HOUSING COMPANY
19,TORONTO PUBLIC LIBRARY
20,TORONTO WATER
21,TRANSPORTATION SERVICES
