day_of_week,hour_of_day,sales,redemptions,slots_n
Friday,0,6890,37,770
Monday,0,6118,222,666
Saturday,0,14842,5,970
Sunday,0,13342,97,958
Thursday,0,5729,18,664
Tuesday,0,4312,7,628
Wednesday,0,4926,2,631
Friday,1,2869,48,556
Monday,1,2841,3,474
Saturday,1,6854,457,777
Sunday,1,5840,0,724
Thursday,1,2132,7,442
Tuesday,1,1934,1717,411
Wednesday,1,2276,0,460
Friday,2,1296,1062,341
Monday,2,1120,92,306
Saturday,2,2958,944,557
Sunday,2,2186,403,517
Thursday,2,2153,169,280
Tuesday,2,721,805,244
Wednesday,2,872,0,266
Friday,3,875,597,228
Monday,3,539,227,179
Saturday,3,1254,414,374
Sunday,3,1108,1647,343
Thursday,3,2030,380,182
Tuesday,3,570,92,146
Wednesday,3,488,0,155
Friday,4,506,539,187
Monday,4,356,20,143
Saturday,4,618,530,242
Sunday,4,720,28,243
Thursday,4,685,0,116
Tuesday,4,224,1170,109
Wednesday,4,489,2,132
Friday,5,767,89,263
Monday,5,545,237,194
Saturday,5,1302,1029,363
Sunday,5,1238,669,312
Thursday,5,713,1,185
Tuesday,5,709,132,190
Wednesday,5,554,1,200
Friday,6,9750,10971,1299
Monday,6,10765,12754,1294
Saturday,6,9372,10114,1151
Sunday,6,6622,8596,842
Thursday,6,10908,14363,1317
Tuesday,6,13997,14289,1293
Wednesday,6,13559,16290,1366
Friday,7,19761,15012,2125
Monday,7,17383,14531,2047
Saturday,7,24605,15569,1666
Sunday,7,22644,17760,1560
Thursday,7,19538,17218,2145
Tuesday,7,17389,15253,2115
Wednesday,7,22173,18001,2141
Friday,8,53387,37472,2215
Monday,8,46805,36967,2205
Saturday,8,59945,35193,2044
Sunday,8,58938,42614,1882
Thursday,8,43631,37240,2240
Tuesday,8,45399,35271,2207
Wednesday,8,50685,38384,2229
Friday,9,112296,99458,2169
Monday,9,98828,90624,2124
Saturday,9,133009,114500,2161
Sunday,9,128059,121345,2067
Thursday,9,100605,88364,2173
Tuesday,9,90828,80218,2176
Wednesday,9,105182,91020,2165
Friday,10,153853,167931,2177
Monday,10,155720,165306,2173
Saturday,10,216174,225137,2189
Sunday,10,214014,228036,2147
Thursday,10,133521,144226,2163
Tuesday,10,107865,120799,2160
Wednesday,10,127835,146176,2199
Friday,11,186908,192785,2222
Monday,11,194938,201320,2214
Saturday,11,281023,302742,2245
Sunday,11,282028,307178,2231
Thursday,11,157086,166206,2209
Tuesday,11,143436,150005,2192
Wednesday,11,162024,172943,2215
Friday,12,182807,186185,2244
Monday,12,195706,203105,2222
Saturday,12,312336,344969,2267
Sunday,12,307926,337671,2250
Thursday,12,159944,165207,2236
Tuesday,12,138494,142978,2231
Wednesday,12,153929,158595,2234
Friday,13,174631,172377,2259
Monday,13,189345,195146,2228
Saturday,13,319757,358968,2266
Sunday,13,315376,346312,2256
Thursday,13,146489,146182,2252
Tuesday,13,136790,135177,2223
Wednesday,13,145747,142171,2240
Friday,14,171594,167512,2196
Monday,14,181483,184275,2186
Saturday,14,307119,346888,2222
Sunday,14,306832,347519,2262
Thursday,14,137150,136317,2166
Tuesday,14,135109,131166,2149
Wednesday,14,136559,134801,2175
Friday,15,156548,148204,2265
Monday,15,159462,162414,2240
Saturday,15,281907,313737,2272
Sunday,15,275034,305690,2242
Thursday,15,123951,117197,2254
Tuesday,15,117239,117385,2231
Wednesday,15,125417,121086,2251
Friday,16,136491,129149,2265
Monday,16,132678,135888,2254
Saturday,16,234830,261210,2242
Sunday,16,218040,241612,2231
Thursday,16,107396,103268,2264
Tuesday,16,107370,102250,2244
Wednesday,16,109252,107447,2269
Friday,17,111020,103501,2240
Monday,17,107375,111300,2221
Saturday,17,182534,195263,2233
Sunday,17,159179,172846,2180
Thursday,17,91302,87135,2232
Tuesday,17,82968,79000,2205
Wednesday,17,87072,83244,2242
Friday,18,89494,84958,2196
Monday,18,74028,76384,2152
Saturday,18,124978,130232,2196
Sunday,18,106227,112232,2137
Thursday,18,71308,68945,2173
Tuesday,18,66525,64877,2155
Wednesday,18,66928,66867,2176
Friday,19,74062,62233,2047
Monday,19,51061,49940,1963
Saturday,19,86613,81845,2048
Sunday,19,68644,67108,1976
Thursday,19,51600,47330,2019
Tuesday,19,45358,43701,1996
Wednesday,19,53534,50687,2016
Friday,20,56366,38091,2013
Monday,20,32185,27867,1934
Saturday,20,61211,50805,1996
Sunday,20,44764,39363,1886
Thursday,20,39641,28010,1972
Tuesday,20,39767,32409,1921
Wednesday,20,33653,27191,1940
Friday,21,48583,22213,1949
Monday,21,27413,19630,1805
Saturday,21,46260,28312,1879
Sunday,21,28915,19469,1727
Thursday,21,35260,19024,1897
Tuesday,21,26819,15629,1850
Wednesday,21,31617,20391,1874
Friday,22,43046,12328,1898
Monday,22,23223,14617,1718
Saturday,22,38276,15615,1838
Sunday,22,23896,15644,1661
Thursday,22,27404,11803,1845
Tuesday,22,22148,9882,1752
Wednesday,22,27368,13187,1810
Friday,23,31456,8156,1781
Monday,23,12775,5857,1452
Saturday,23,27114,8410,1688
Sunday,23,17659,7737,1340
Thursday,23,20299,10447,1655
Tuesday,23,13393,4982,1529
Wednesday,23,13756,5482,1546
