year,sales,redemptions,sales_delta,sales_yoy_growth
2016,1518428,1425779,,
2017,682346,698861,-836082,-0.5506234078928998
2018,1463589,1493560,781243,1.1449367329771114
2019,1249725,1278505,-213864,-0.14612298944580754
2020,366606,374546,-883119,-0.7066506631458921
2021,782368,773040,415762,1.1340840029895856
2022,1346659,1349778,564291,0.7212603276207615
2023,1491473,1502883,144814,0.10753576072339026
2024,1373563,1390358,-117910,-0.07905607409587703
2025,1513485,1525850,139922,0.10186791577816234
