year,sales,redemptions,total_gap,avg_gap_per_slot
2016,1518428,1425779,92649,3.986617900172117
2017,682346,698861,-16515,-0.7472512555992942
2018,1463589,1493560,-29971,-1.2151226434218527
2019,1249725,1278505,-28780,-1.1665991082286178
2020,366606,374546,-7940,-0.34914911393518316
2021,782368,773040,9328,0.369703935634735
2022,1346659,1349778,-3119,-0.12120623324136323
2023,1491473,1502883,-11410,-0.4339227990112189
2024,1373563,1390358,-16795,-0.6395415254559994
2025,1513485,1525850,-12365,-0.4712271341463415
